#Wj xj yj
5.485695411600407e-60 1.8053148466666666 0.125
5.149038298734362e-60 1.8775274433333333 0.25
4.563994008969717e-60 1.8053148466666666 0.375
4.4920631149567513e-60 1.8775274433333333 0.5
4.105646932966363e-60 1.8053148466666666 0.625
4.160920942996877e-60 1.8775274433333333 0.75
3.883054913194708e-60 1.8053148466666666 0.875
4.004809048194403e-60 1.8775274433333333 1.0
3.785262731301967e-60 1.8053148466666666 1.125
3.9324385756739294e-60 1.8775274433333333 1.25
3.7428555917533126e-60 1.8053148466666666 1.375
3.907084277321145e-60 1.8775274433333333 1.5
3.732236405842366e-60 1.8053148466666666 1.625
3.902759812073006e-60 1.8775274433333333 1.75
3.7302865654392267e-60 1.8053148466666666 1.875
3.900281953160487e-60 1.8775274433333333 2.0
3.729791800936457e-60 1.8053148466666666 2.125
3.90083939410081e-60 1.8775274433333333 2.25
3.7289679055899615e-60 1.8053148466666666 2.375
3.899048205673376e-60 1.8775274433333333 2.5
3.728891959450713e-60 1.8053148466666666 2.625
3.9008207989757884e-60 1.8775274433333333 2.75
3.729427370104714e-60 1.8053148466666666 2.875
3.900411311558344e-60 1.8775274433333333 3.0
3.7305465744774275e-60 1.8053148466666666 3.125
3.9026717576043357e-60 1.8775274433333333 3.25
3.7320445834722803e-60 1.8053148466666666 3.375
3.905829544254524e-60 1.8775274433333333 3.5
3.74132397109113e-60 1.8053148466666666 3.625
3.928633943680207e-60 1.8775274433333333 3.75
3.779140456717178e-60 1.8053148466666666 3.875
3.99481608988622e-60 1.8775274433333333 4.0
3.8701953300339866e-60 1.8053148466666666 4.125
4.1413432161842713e-60 1.8775274433333333 4.25
4.0798039161305794e-60 1.8053148466666666 4.375
4.4564873322562064e-60 1.8775274433333333 4.5
4.5227244627023177e-60 1.8053148466666666 4.625
5.095500375169617e-60 1.8775274433333333 4.75
5.405895463147239e-60 1.8053148466666666 4.875
5.993336937331838e-60 1.8775274433333333 4.958333333333333
6.229533920836116e-60 2.0219526333333335 0.041666666666666664
6.26265113523096e-60 2.0941652266666666 0.125
5.551819180972406e-60 2.0219526333333335 0.25
5.416890767137839e-60 2.0941652266666666 0.375
4.9053513261870713e-60 2.0219526333333335 0.5
4.916831155573768e-60 2.0941652266666666 0.625
4.555795617501871e-60 2.0219526333333335 0.75
4.6569759701058485e-60 2.0941652266666666 0.875
4.3826769663711964e-60 2.0219526333333335 1.0
4.525909122118649e-60 2.0941652266666666 1.125
4.2989876607357415e-60 2.0219526333333335 1.25
4.469755866280659e-60 2.0941652266666666 1.375
4.268609932598097e-60 2.0219526333333335 1.5
4.4525184650540645e-60 2.0941652266666666 1.625
4.261693907435875e-60 2.0219526333333335 1.75
4.451096445149742e-60 2.0941652266666666 1.875
4.2612191689440526e-60 2.0219526333333335 2.0
4.4488581818364417e-60 2.0941652266666666 2.125
4.260262954936961e-60 2.0219526333333335 2.25
4.4493645031840285e-60 2.0941652266666666 2.375
4.259914218486297e-60 2.0219526333333335 2.5
4.448832853978149e-60 2.0941652266666666 2.625
4.2601162938873347e-60 2.0219526333333335 2.75
4.4494488953791083e-60 2.0941652266666666 2.875
4.261165607005878e-60 2.0219526333333335 3.0
4.450098468964786e-60 2.0941652266666666 3.125
4.2616137035270574e-60 2.0219526333333335 3.25
4.4518775477930454e-60 2.0941652266666666 3.375
4.267099255962156e-60 2.0219526333333335 3.5
4.4665867363150015e-60 2.0941652266666666 3.625
4.2941788348330044e-60 2.0219526333333335 3.75
4.5176878645038307e-60 2.0941652266666666 3.875
4.371029365430969e-60 2.0219526333333335 4.0
4.6393520566108336e-60 2.0941652266666666 4.125
4.5333219583641474e-60 2.0219526333333335 4.25
4.8841153877485775e-60 2.0941652266666666 4.375
4.864215691661336e-60 2.0219526333333335 4.5
5.36112114562079e-60 2.0941652266666666 4.625
5.494519726635079e-60 2.0219526333333335 4.75
6.178773101031684e-60 2.0941652266666666 4.875
6.246422675903925e-60 2.0219526333333335 4.958333333333333
7.714763640467258e-60 2.3108030066666667 0.041666666666666664
7.008869425564237e-60 2.2385904133333336 0.125
6.638622334151674e-60 2.3108030066666667 0.25
5.918552714523243e-60 2.2385904133333336 0.375
5.842101815561841e-60 2.3108030066666667 0.5
5.365193404535758e-60 2.2385904133333336 0.625
5.422637295965572e-60 2.3108030066666667 0.75
5.077027881840877e-60 2.2385904133333336 0.875
5.20246680151469e-60 2.3108030066666667 1.0
4.9298409584338034e-60 2.2385904133333336 1.125
5.098635853675947e-60 2.3108030066666667 1.25
4.8666769277841046e-60 2.2385904133333336 1.375
5.058804314160168e-60 2.3108030066666667 1.5
4.8468299981215523e-60 2.2385904133333336 1.625
5.050325772372252e-60 2.3108030066666667 1.75
4.844218432018148e-60 2.2385904133333336 1.875
5.049155183808754e-60 2.3108030066666667 2.0
4.843386679778203e-60 2.2385904133333336 2.125
5.048529362434456e-60 2.3108030066666667 2.25
4.842553566033243e-60 2.2385904133333336 2.375
5.048202860079732e-60 2.3108030066666667 2.5
4.842579887359271e-60 2.2385904133333336 2.625
5.048476488402444e-60 2.3108030066666667 2.75
4.8433332403881135e-60 2.2385904133333336 2.875
5.048996859705006e-60 2.3108030066666667 3.0
4.8440741776084533e-60 2.2385904133333336 3.125
5.049795867070094e-60 2.3108030066666667 3.25
4.845971136845605e-60 2.2385904133333336 3.375
5.056683952075833e-60 2.3108030066666667 3.5
4.8628705406597616e-60 2.2385904133333336 3.625
5.092098080662294e-60 2.3108030066666667 3.75
4.920572904500522e-60 2.2385904133333336 3.875
5.188086027799834e-60 2.3108030066666667 4.0
5.057222847852172e-60 2.2385904133333336 4.125
5.393938023988234e-60 2.3108030066666667 4.25
5.328177147352781e-60 2.2385904133333336 4.375
5.78963571635115e-60 2.3108030066666667 4.5
5.850699859084346e-60 2.2385904133333336 4.625
6.545182486856699e-60 2.3108030066666667 4.75
6.896109845104296e-60 2.2385904133333336 4.875
7.658135031925911e-60 2.3108030066666667 4.958333333333333
